Fabiana;2;1
Fabiano;1;1
Fabien;1;8
Fabienne;2;8
Fabio;1;1
Fabiola;2;13
Fabrice;1;8
Fabrizia;2;1
Fabrizio;1;1
Fae;2;2
Faith;2;2
Falk;1;4
Fallon;2;2
Fancy;2;2
Fanny;2;2
Farley;1;2
Faron;1;2
Farran;1;2
Farrell;1;2
Fausta;2;1
Faustina;2;1
Faustine;2;8
Faustino;1;1
Fausto;1;1
Fawn;2;2
Fay;2;2
Faye;2;2
Febe;2;1
Fedele;1;1
Federica;2;1
Federico;1;1
Federigo;1;1
Felice;1;1
Felicia;2;2
Feliciana;2;1
Feliciano;1;1
Felicie;2;4
Félicie;2;8
Félicien;1;8
Félicienne;2;8
Felicita;2;1
Felicitas;2;4
Félicité;2;8
Felicity;2;2
Felix;1;6
Félix;1;8
Fenton;1;2
Ferdinand;1;14
Ferdinanda;2;5
Ferdinando;1;1
Fern;2;2
Fernand;1;8
Fernanda;2;5
Fernande;2;8
Fernando;1;1
Ferruccio;1;1
Fester;1;4
Fiacre;1;8
Fiammetta;2;1
Filibert;1;4
Filiberto;1;1
Filippa;2;1
Filippo;1;1
Filomena;2;1
Fina;2;1
Finlay;1;2
Finley;1;2
Finnegan;1;2
Fiona;2;2
Fioralba;2;1
Fiorella;2;1
Fiorenza;2;1
Fiorenzo;1;1
Fiorino;1;1
Firmin;1;8
Firmino;1;1
Fitz;1;2
Fitzroy;1;2
Flanagan;1;2
Flannery;3;2
Flavia;2;1
Flavie;2;8
Flavio;1;1
Fletcher;1;2
Fleur;2;10
Fleurette;2;8
Flick;2;2
Flora;2;7
Flore;2;8
Florence;3;10
Florent;1;8
Florentin;1;8
Florentine;2;8
Florette;2;8
Florian;1;12
Floriana;2;1
Floriane;2;8
Florianne;2;8
Floriano;1;1
Florine;2;8
Flower;2;2
Floyd;1;2
Flynn;1;2
Ford;1;2
Forrest;1;2
Fortunata;2;1
Fortunato;1;1
Fortune;2;2
Foster;1;2
Fox;1;2
Fran;3;2
Franca;2;1
France;2;8
Frances;2;2
Francesca;2;1
Francesco;1;1
Francette;2;8
Francine;2;10
Francis;3;10
Franck;1;8
Franco;1;1
François;1;8
Françoise;2;8
Frank;1;14
Franklin;1;2
Franklyn;1;2
Franz;1;4
Franziska;2;4
Fraser;1;2
Frauke;2;4
Fred;1;10
Freda;2;2
Freddie;1;2
Freddy;1;2
Frédéric;1;8
Frederica;2;2
Frederick;1;2
Frédérique;2;8
Frediano;1;1
Fredo;1;1
Freeman;1;2
Frej;1;4
Freja;2;4
Freya;2;2
Frieda;2;4
Friedemann;1;4
Friederike;2;4
Friedhelm;1;4
Friedhold;1;4
Friedrich;1;4
Fritz;1;4
Frona;2;2
Fulbert;1;8
Fulgenzio;1;1
Fulton;1;2
Fulvia;2;1
Fulvio;1;1
Gabe;1;2
Gabriel;1;15
Gabriela;2;4
Gabriele;1;1
Gabriella;2;3
Gabrielle;2;10
Gaël;1;8
Gaëlle;2;8
Gaétan;1;8
Gaëtan;1;8
Gaetana;2;1
Gaetane;2;8
Gaetano;1;1
Gage;1;2
Gaia;2;1
Gale;1;2
Galen;1;2
Gallagher;1;2
Gallo;1;1
Gardenia;2;2
Gareth;1;2
Garfield;1;2
Garland;1;2
Garrett;1;2
Garrick;1;2
Garth;1;2
Gary;1;2
Gaspard;1;8
Gaspare;1;1
Gasparo;1;1
